AccX,AccY,AccZ,stepCount
-2.197021007537842,-4.071418285369873,-2.4123241901397705,0
-1.9121263027191162,-4.330745697021484,-1.8312404155731201,0
-1.7819815874099731,-4.637411117553711,-1.342850685119629,0
-1.693060040473938,-4.972692012786865,-1.0178909301757812,0
-1.667864441871643,-5.324751853942871,-0.8151357173919678,0
-1.6334575414657593,-5.688841819763184,-0.6863644123077393,0
-1.6918339729309082,-5.99791955947876,-0.6003298759460449,0
-1.8452483415603638,-6.199315071105957,-0.5808596611022949,0
-2.022198438644409,-6.314497470855713,-0.5537378787994385,0
-2.266939163208008,-6.259753227233887,-0.5044517517089844,0
-2.479825019836426,-6.240455150604248,-0.4788374900817871,0
-2.6853179931640625,-6.236799716949463,-0.4942612648010254,0
-2.835911273956299,-6.097328186035156,-0.49909472465515137,0
-2.929102659225464,-5.864322662353516,-0.5281863212585449,0
-2.928570032119751,-5.553716659545898,-0.5160205364227295,0
-2.7565126419067383,-5.10474157333374,-0.6009440422058105,0
-2.531644821166992,-4.253938674926758,-0.5233702659606934,0
-2.320167064666748,-3.3671302795410156,-0.38259053230285645,0
-1.9324417114257812,-2.1615724563598633,-0.16348028182983398,0
-1.713009238243103,-0.6871728897094727,0.0864863395690918,0
-1.2376409769058228,1.0899648666381836,0.5967373847961426,0
-0.7257951498031616,3.4116220474243164,1.1992125511169434,0
-0.007474496960639954,5.682216644287109,2.017882823944092,0
0.6133484840393066,8.480727195739746,3.0120553970336914,0
1.3107662200927734,11.297393798828125,4.234698295593262,0
2.1380615234375,13.893485069274902,5.238638877868652,0
2.977874994277954,15.645552635192871,5.881478786468506,0
4.11632776260376,16.301300048828125,6.313885688781738,0
4.91764497756958,14.398292541503906,6.401524543762207,0
4.136662006378174,10.316588401794434,6.293819427490234,0
3.0560309886932373,6.884007453918457,6.147927284240723,0
2.4904229640960693,4.50465202331543,6.08624267578125,0
2.236300230026245,2.89556884765625,5.973590850830078,0
2.0909929275512695,1.7957334518432617,5.688848495483398,0
2.0181288719177246,0.8971338272094727,5.236042499542236,0
1.953622817993164,0.12475204467773438,4.63380241394043,0
1.7025014162063599,-0.5143318176269531,3.9703426361083984,0
1.2486627101898193,-1.0460567474365234,3.277430772781372,0
0.596099317073822,-1.3647971153259277,2.6753058433532715,0
-0.1286429911851883,-1.5087122917175293,2.1174252033233643,0
-0.9151800870895386,-1.441976547241211,1.4241657257080078,0
-1.6863950490951538,-1.093266487121582,0.6013772487640381,0
-2.3141469955444336,-0.3245105743408203,-0.2895810604095459,0
-2.885348081588745,0.7343711853027344,-1.3808050155639648,0
-3.3813021183013916,1.6547183990478516,-2.6723344326019287,0
-3.934070587158203,2.255099296569824,-4.165132522583008,0
-4.844191074371338,2.221376419067383,-6.0450639724731445,0
-5.7882561683654785,2.1752243041992188,-7.675037384033203,0
-6.782210826873779,2.584843635559082,-8.715291976928711,0
-7.818954944610596,3.38580322265625,-9.393096923828125,0
-8.289003372192383,4.858919143676758,-9.741909980773926,0
-7.811466217041016,5.770963668823242,-8.941608428955078,0
-5.74962854385376,4.711790084838867,-6.267346382141113,0
-3.092989921569824,2.3809986114501953,-2.8624496459960938,0
-0.8186522126197815,0.12833023071289062,0.08351969718933105,0
1.0450923442840576,-1.8596882820129395,2.1685941219329834,0
2.3361754417419434,-3.625636100769043,2.9780850410461426,0
